         #Lp        Ebind     Ebinderr     Rsquared
    0.360000    17.203243     0.209220     0.913953
    0.368241    17.041027     0.196407     0.919415
    0.376482    16.844711     0.176634     0.924570
    0.384724    16.674565     0.176425     0.928878
    0.392965    16.483832     0.164679     0.932393
    0.401206    16.314342     0.160081     0.935230
    0.409447    16.151198     0.152409     0.937644
    0.417688    16.010417     0.151372     0.939859
    0.425930    15.877059     0.148719     0.941999
    0.434171    15.754291     0.145268     0.944121
    0.442412    15.643237     0.145632     0.946204
    0.450653    15.540194     0.145082     0.948175
    0.458894    15.443830     0.144578     0.949943
    0.467136    15.352510     0.146338     0.951420
    0.475377    15.263642     0.148173     0.952552
    0.483618    15.175435     0.148850     0.953332
    0.491859    15.086071     0.152677     0.953812
    0.500101    14.994943     0.155590     0.954092
    0.508342    14.902910     0.158189     0.954297
    0.516583    14.805406     0.159383     0.954540
    0.524824    14.708794     0.161151     0.954885
    0.533065    14.611847     0.161333     0.955337
    0.541307    14.515661     0.161233     0.955856
    0.549548    14.422091     0.159935     0.956381
    0.557789    14.327107     0.158829     0.956852
    0.566030    14.234842     0.157713     0.957213
    0.574271    14.144330     0.156734     0.957424
    0.582513    14.055402     0.155819     0.957456
    0.590754    13.968173     0.155411     0.957289
    0.598995    13.882465     0.155480     0.956916
    0.607236    13.798523     0.155721     0.956345
    0.615477    13.716275     0.156271     0.955644
    0.623719    13.636124     0.156563     0.954905
    0.631960    13.557289     0.157074     0.954230
    0.640201    13.480831     0.156994     0.953720
    0.648442    13.406285     0.156524     0.953472
    0.656683    13.333986     0.155546     0.953564
    0.664925    13.263842     0.153813     0.954045
    0.673166    13.196193     0.151488     0.954933
    0.681407    13.130856     0.148831     0.956215
    0.689648    13.068320     0.145784     0.957862
    0.697889    13.008851     0.142440     0.959854
    0.706131    12.952160     0.138880     0.962185
    0.714372    12.898112     0.134794     0.964812
    0.722613    12.845697     0.130230     0.967648
    0.730854    12.794011     0.125125     0.970575
    0.739095    12.742270     0.119574     0.973442
    0.747337    12.690021     0.114038     0.976080
    0.755578    12.636963     0.107691     0.978318
    0.763819    12.582061     0.104645     0.980044
    0.772060    12.525766     0.100632     0.981239
    0.780302    12.468385     0.099298     0.981958
    0.788543    12.410813     0.097278     0.982302
    0.796784    12.353418     0.097674     0.982392
    0.805025    12.297558     0.097710     0.982339
    0.813266    12.243358     0.098001     0.982225
    0.821508    12.190768     0.098390     0.982094
    0.829749    12.139850     0.098737     0.981967
    0.837990    12.090720     0.099049     0.981866
    0.846231    12.043937     0.099182     0.981835
    0.854472    12.000209     0.098984     0.981943
    0.862714    11.958591     0.098481     0.982169
    0.870955    11.916705     0.097868     0.982398
    0.879196    11.872644     0.097286     0.982538
    0.887437    11.825628     0.096896     0.982540
    0.895678    11.775639     0.096750     0.982404
    0.903920    11.724149     0.096808     0.982187
    0.912161    11.672112     0.097009     0.981942
    0.920402    11.620019     0.097285     0.981689
    0.928643    11.568262     0.097641     0.981447
    0.936884    11.517368     0.097993     0.981243
    0.945126    11.468130     0.098224     0.981119
    0.953367    11.421585     0.098211     0.981128
    0.961608    11.378135     0.097905     0.981289
    0.969849    11.337282     0.097351     0.981562
    0.978090    11.298274     0.096667     0.981896
    0.986332    11.260403     0.095950     0.982241
    0.994573    11.222977     0.095271     0.982558
    1.002814    11.185451     0.094716     0.982816
    1.011055    11.147578     0.094324     0.983004
    1.019296    11.109431     0.094083     0.983130
    1.027538    11.071088     0.093967     0.983202
    1.035779    11.032655     0.093969     0.983227
    1.044020    10.994178     0.094073     0.983211
    1.052261    10.955729     0.094280     0.983159
    1.060503    10.917356     0.094568     0.983077
    1.068744    10.879119     0.094929     0.982968
    1.076985    10.841040     0.095359     0.982836
    1.085226    10.803171     0.095842     0.982685
    1.093467    10.765522     0.096371     0.982517
    1.101709    10.728127     0.096948     0.982336
    1.109950    10.691002     0.097557     0.982144
    1.118191    10.654166     0.098190     0.981942
    1.126432    10.617595     0.098856     0.981733
    1.134673    10.581333     0.099539     0.981518
    1.142915    10.545388     0.100233     0.981299
    1.151156    10.509715     0.100943     0.981077
    1.159397    10.474358     0.101659     0.980853
    1.167638    10.439305     0.102376     0.980629
    1.175879    10.404554     0.103089     0.980404
    1.184121    10.370102     0.103800     0.980180
    1.192362    10.335948     0.104506     0.979958
    1.200603    10.302100     0.105198     0.979738
    1.208844    10.268571     0.105873     0.979522
    1.217085    10.235309     0.106536     0.979309
    1.225327    10.202364     0.107178     0.979101
    1.233568    10.169752     0.107794     0.978898
    1.241809    10.137422     0.108388     0.978700
    1.250050    10.105407     0.108953     0.978508
    1.258291    10.073722     0.109488     0.978323
    1.266533    10.042359     0.109992     0.978145
    1.274774    10.011319     0.110466     0.977973
    1.283015     9.980589     0.110907     0.977809
    1.291256     9.950178     0.111318     0.977653
    1.299497     9.920095     0.111697     0.977504
    1.307739     9.890317     0.112045     0.977363
    1.315980     9.860846     0.112365     0.977230
    1.324221     9.831694     0.112650     0.977104
    1.332462     9.802839     0.112908     0.976986
    1.340704     9.774290     0.113135     0.976876
    1.348945     9.746035     0.113335     0.976773
    1.357186     9.718071     0.113507     0.976678
    1.365427     9.690393     0.113651     0.976590
    1.373668     9.663001     0.113770     0.976509
    1.381910     9.635889     0.113860     0.976436
    1.390151     9.609048     0.113929     0.976369
    1.398392     9.582479     0.113971     0.976309
    1.406633     9.556174     0.113990     0.976255
    1.414874     9.530109     0.113989     0.976207
    1.423116     9.504306     0.113966     0.976166
    1.431357     9.478750     0.113923     0.976130
    1.439598     9.453435     0.113860     0.976099
    1.447839     9.428353     0.113780     0.976074
    1.456080     9.403502     0.113683     0.976053
    1.464322     9.378883     0.113569     0.976037
    1.472563     9.354475     0.113441     0.976024
    1.480804     9.330290     0.113299     0.976016
    1.489045     9.306300     0.113145     0.976011
    1.497286     9.282521     0.112981     0.976010
    1.505528     9.258951     0.112804     0.976011
    1.513769     9.235558     0.112621     0.976015
    1.522010     9.212362     0.112429     0.976020
    1.530251     9.189353     0.112231     0.976028
    1.538492     9.166523     0.112028     0.976037
    1.546734     9.143875     0.111820     0.976048
    1.554975     9.121391     0.111610     0.976059
    1.563216     9.099080     0.111399     0.976071
    1.571457     9.076935     0.111187     0.976083
    1.579698     9.054952     0.110975     0.976095
    1.587940     9.033127     0.110767     0.976106
    1.596181     9.011451     0.110562     0.976117
    1.604422     8.989942     0.110359     0.976127
    1.612663     8.968577     0.110164     0.976135
    1.620905     8.947363     0.109976     0.976142
    1.629146     8.926288     0.109795     0.976147
    1.637387     8.905359     0.109624     0.976150
    1.645628     8.884572     0.109463     0.976151
    1.653869     8.863925     0.109313     0.976148
    1.662111     8.843416     0.109177     0.976143
    1.670352     8.823043     0.109054     0.976135
    1.678593     8.802807     0.108947     0.976123
    1.686834     8.782701     0.108855     0.976108
    1.695075     8.762733     0.108781     0.976088
    1.703317     8.742894     0.108726     0.976064
    1.711558     8.723190     0.108691     0.976036
    1.719799     8.703613     0.108677     0.976003
    1.728040     8.684161     0.108685     0.975965
    1.736281     8.664846     0.108717     0.975922
    1.744523     8.645656     0.108774     0.975873
    1.752764     8.626591     0.108858     0.975818
    1.761005     8.607647     0.108969     0.975757
