         #Lp        Ebind     Ebinderr     Rsquared
    0.360000    17.438529     0.149034     0.907348
    0.393469    16.739165     0.133850     0.921759
    0.426939    16.122575     0.125409     0.931199
    0.460408    15.599493     0.122508     0.945711
    0.493878    15.137744     0.121360     0.953192
    0.527347    14.721536     0.118892     0.954802
    0.560816    14.343382     0.115875     0.956696
    0.594286    13.993268     0.113931     0.956674
    0.627755    13.663228     0.113291     0.953994
    0.661224    13.355201     0.111955     0.953296
    0.694694    13.075405     0.108314     0.958776
    0.728163    12.824660     0.102810     0.969592
    0.761633    12.583905     0.098014     0.979617
    0.795102    12.340093     0.087371     0.982304
    0.828571    12.106217     0.096903     0.981755
    0.862041    11.890753     0.093043     0.981448
    0.895510    11.680107     0.091812     0.981088
    0.928980    11.468885     0.091473     0.980061
    0.962449    11.267738     0.091124     0.979661
    0.995918    11.082572     0.090611     0.979937
    1.029388    10.903517     0.090286     0.979428
    1.062857    10.729465     0.090057     0.978305
    1.096327    10.561392     0.089862     0.976876
    1.129796    10.399677     0.089672     0.975323
    1.163265    10.244400     0.089471     0.973762
    1.196735    10.095523     0.089255     0.972274
    1.230204     9.952989     0.089034     0.970909
    1.263673     9.816765     0.088841     0.969687
    1.297143     9.686744     0.088699     0.968614
    1.330612     9.562666     0.088606     0.967690
    1.364082     9.444222     0.088559     0.966912
    1.397551     9.331075     0.088550     0.966272
    1.431020     9.222864     0.088572     0.965760
    1.464490     9.119213     0.088619     0.965360
    1.497959     9.019738     0.088683     0.965056
    1.531429     8.924050     0.088758     0.964826
    1.564898     8.831759     0.088840     0.964647
    1.598367     8.742477     0.088925     0.964492
    1.631837     8.655819     0.089013     0.964333
    1.665306     8.571404     0.089103     0.964137
    1.698776     8.488854     0.089199     0.963871
    1.732245     8.407788     0.089307     0.963496
    1.765714     8.327823     0.089434     0.962972
    1.799184     8.248561     0.089587     0.962251
    1.832653     8.169583     0.089774     0.961282
    1.866122     8.090439     0.090000     0.960006
    1.899592     8.010639     0.090270     0.958357
    1.933061     7.929646     0.090581     0.956272
    1.966531     7.846868     0.090924     0.953692
    2.000000     7.761666     0.091277     0.950578
