         #Lp        Ebind     Ebinderr     Rsquared
    0.360000    16.544835     0.245768     0.886645
    0.393469    16.045240     0.237450     0.894828
    0.426939    15.573705     0.221892     0.909400
    0.460408    15.127183     0.204941     0.923713
    0.493878    14.708764     0.189907     0.935061
    0.527347    14.318853     0.177827     0.942981
    0.560816    13.954092     0.168603     0.947717
    0.594286    13.611727     0.161566     0.949947
    0.627755    13.294927     0.155329     0.951266
    0.661224    13.012387     0.147594     0.954276
    0.694694    12.771442     0.135124     0.961560
    0.728163    12.568599     0.113869     0.973686
    0.761633    12.376175     0.083981     0.986259
    0.795102    12.152161     0.068803     0.990657
    0.828571    11.933508     0.065607     0.991549
    0.862041    11.764724     0.063539     0.992531
    0.895510    11.606213     0.059347     0.993716
    0.928980    11.395132     0.059229     0.993383
    0.962449    11.198451     0.056524     0.993740
    0.995918    11.058553     0.051720     0.994815
    1.029388    10.920594     0.050099     0.995161
    1.062857    10.775463     0.052150     0.994751
    1.096327    10.628972     0.056564     0.993833
    1.129796    10.484280     0.062083     0.992625
    1.163265    10.342737     0.067885     0.991295
    1.196735    10.204839     0.073508     0.989960
    1.230204    10.071011     0.078694     0.988691
    1.263673     9.942066     0.083310     0.987518
    1.297143     9.818713     0.087321     0.986453
    1.330612     9.700990     0.090750     0.985500
    1.364082     9.588711     0.093636     0.984658
    1.397551     9.481551     0.096020     0.983920
    1.431020     9.379098     0.097949     0.983277
    0.631960    13.257350     0.154497     0.951492
    0.640201    13.185349     0.152779     0.952033
    0.648442    13.115650     0.150909     0.952743
    0.656683    13.048379     0.148839     0.953664
    0.664925    12.983637     0.146517     0.954834
    0.673166    12.921491     0.143888     0.956287
    0.681407    12.861969     0.140892     0.958046
    0.689648    12.805045     0.137464     0.960126
    0.697889    12.750633     0.133538     0.962531
    0.706131    12.698569     0.129048     0.965244
    0.714372    12.648598     0.123933     0.968234
    0.722613    12.600356     0.118149     0.971442
    0.730854    12.553350     0.111686     0.974788
    0.739095    12.506946     0.104595     0.978158
    0.747337    12.460360     0.097031     0.981416
    0.755578    12.412645     0.089322     0.984393
    0.763819    12.362633     0.082194     0.986848
    0.772060    12.309768     0.076404     0.988635
    0.780302    12.254425     0.072330     0.989775
    0.788543    12.197609     0.069883     0.990401
    0.796784    12.140556     0.068609     0.990701
    0.805025    12.084338     0.067897     0.990871
    0.813266    12.029669     0.067236     0.991054
    0.821508    11.976932     0.066407     0.991302
    0.829749    11.926453     0.065477     0.991591
    0.837990    11.878818     0.064697     0.991856
    0.846231    11.835079     0.064259     0.992062
    0.854472    11.796521     0.063981     0.992271
    0.862714    11.761973     0.063484     0.992557
    0.870955    11.728022     0.062587     0.992915
    0.879196    11.691627     0.061369     0.993283
    0.887437    11.650866     0.060153     0.993575
    0.895678    11.605240     0.059336     0.993717
    0.903920    11.555985     0.059008     0.993719
    0.912161    11.504397     0.059021     0.993630
    0.920402    11.451253     0.059168     0.993501
    0.928643    11.397335     0.059231     0.993387
    0.936884    11.343787     0.059050     0.993331
