         #Lp        Ebind     Ebinderr     Rsquared
    0.360000    23.119217     0.000000    -0.555781
    0.393469    22.050956     0.000000    -0.370887
    0.426939    21.396023     0.000000    -0.328036
    0.460408    20.789673     0.000000    -0.357674
    0.493878    20.290659     0.000000    -0.436752
    0.527347    19.117219     0.000000    -0.404222
    0.560816    17.733089     0.000000    -0.359152
    0.594286    17.235545     0.000000    -0.417044
    0.627755    17.028768     0.000000    -0.454267
    0.661224    16.842619     0.000000    -0.374934
    0.694694    16.462447     0.000000    -0.214043
    0.728163    16.344668     0.000000     0.027620
    0.761633    16.247720     0.000000     0.257466
    0.795102    16.142666     0.000000     0.341660
    0.828571    15.852864     0.295873     0.338671
    0.862041    15.304672     0.000000     0.330379
    0.895510    15.241130     0.000000     0.349121
    0.928980    15.154506     0.000000     0.349393
    0.962449    14.895893     0.000000     0.349636
    0.995918    14.684466     0.000028     0.347449
    1.029388    14.473994     0.000000     0.344077
    1.062857    14.272979     0.000000     0.341608
    1.096327    14.259218     0.000000     0.337392
    1.129796    14.248507     0.000000     0.335431
    1.163265    14.243822     0.000021     0.333831
    1.196735    14.241266     0.000000     0.332073
    1.230204    13.534365     0.000000     0.339544
    1.263673    13.373357     0.000000     0.340820
    1.297143    13.222391     0.000271     0.341912
    1.330612     9.871205     0.091092     0.977352
    1.364082     9.755028     0.090074     0.976933
    1.397551     9.644206     0.089159     0.976556
    1.431020     9.538355     0.088339     0.976215
    1.464490     9.437056     0.087613     0.975897
    1.497959     9.339872     0.086978     0.975590
    1.531429     9.246367     0.086429     0.975280
    1.564898     9.156114     0.085959     0.974951
    1.598367     9.068710     0.085553     0.974595
    1.631837     8.983784     0.085189     0.974206
    1.665306     8.900999     0.084837     0.973784
    1.698776     8.820051     0.084459     0.973333
    1.732245     8.740657     0.084016     0.972860
    1.765714     8.662535     0.083468     0.972370
    1.799184     8.585373     0.082786     0.971855
    1.832653     8.508788     0.081959     0.971284
    1.866122     8.432291     0.081012     0.970590
    1.899592     8.355249     0.080013     0.969655
    1.933061     8.276861     0.079087     0.968305
    1.966531     8.196162     0.078401     0.966314
    2.000000     8.112062     0.078142     0.963447
