#KD=    4.140000e+02 [muM]
#Ebind= 1.080000e+01 [kT]
    CL0[muM]     CR0[muM]      CL[muM]
1.812695e-10 1.812695e-14 1.812692e-10
1.812695e-10 2.234775e-14 1.812692e-10
1.812695e-10 2.755135e-14 1.812692e-10
1.812695e-10 3.396660e-14 1.812692e-10
1.812695e-10 4.187561e-14 1.812688e-10
1.812695e-10 5.162621e-14 1.812691e-10
1.812695e-10 6.364720e-14 1.812689e-10
1.812695e-10 7.846725e-14 1.812691e-10
1.812695e-10 9.673809e-14 1.812687e-10
1.812695e-10 1.192632e-13 1.812685e-10
1.812695e-10 1.470333e-13 1.812685e-10
1.812695e-10 1.812695e-13 1.812682e-10
1.812695e-10 2.234775e-13 1.812678e-10
1.812695e-10 2.755135e-13 1.812674e-10
1.812695e-10 3.396660e-13 1.812668e-10
1.812695e-10 4.187561e-13 1.812661e-10
1.812695e-10 5.162621e-13 1.812652e-10
1.812695e-10 6.364720e-13 1.812642e-10
1.812695e-10 7.846725e-13 1.812628e-10
1.812695e-10 9.673809e-13 1.812612e-10
1.812695e-10 1.192632e-12 1.812592e-10
1.812695e-10 1.470333e-12 1.812567e-10
1.812695e-10 1.812695e-12 1.812537e-10
1.812695e-10 2.234775e-12 1.812499e-10
1.812695e-10 2.755135e-12 1.812453e-10
1.812695e-10 3.396660e-12 1.812396e-10
1.812695e-10 4.187561e-12 1.812325e-10
1.812695e-10 5.162621e-12 1.812238e-10
1.812695e-10 6.364720e-12 1.812131e-10
1.812695e-10 7.846725e-12 1.811999e-10
1.812695e-10 9.673809e-12 1.811837e-10
1.812695e-10 1.192632e-11 1.811630e-10
1.812695e-10 1.470333e-11 1.811383e-10
1.812695e-10 1.812695e-11 1.811078e-10
1.812695e-10 2.234775e-11 1.810703e-10
1.812695e-10 2.755135e-11 1.810241e-10
1.812695e-10 3.396660e-11 1.809671e-10
1.812695e-10 4.187561e-11 1.808969e-10
1.812695e-10 5.162621e-11 1.808104e-10
1.812695e-10 6.364720e-11 1.807039e-10
1.812695e-10 7.846725e-11 1.805728e-10
1.812695e-10 9.673809e-11 1.804114e-10
1.812695e-10 1.192632e-10 1.802128e-10
1.812695e-10 1.470333e-10 1.799686e-10
1.812695e-10 1.812695e-10 1.796685e-10
1.812695e-10 2.234775e-10 1.792998e-10
1.812695e-10 2.755135e-10 1.788473e-10
1.812695e-10 3.396660e-10 1.782926e-10
1.812695e-10 4.187561e-10 1.776135e-10
1.812695e-10 5.162621e-10 1.767832e-10
1.812695e-10 6.364720e-10 1.757703e-10
1.812695e-10 7.846725e-10 1.745371e-10
1.812695e-10 9.673809e-10 1.730407e-10
1.812695e-10 1.192632e-09 1.712303e-10
1.812695e-10 1.470333e-09 1.690495e-10
1.812695e-10 1.812695e-09 1.664360e-10
1.812695e-10 2.234775e-09 1.633226e-10
1.812695e-10 2.755135e-09 1.596405e-10
1.812695e-10 3.396660e-09 1.553226e-10
1.812695e-10 4.187561e-09 1.503093e-10
1.812695e-10 5.162621e-09 1.445559e-10
1.812695e-10 6.364720e-09 1.380402e-10
1.812695e-10 7.846725e-09 1.307707e-10
1.812695e-10 9.673809e-09 1.227966e-10
1.812695e-10 1.192632e-08 1.142084e-10
1.812695e-10 1.470333e-08 1.051403e-10
1.812695e-10 1.812695e-08 9.576357e-11
